TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level
9,1919627100,43.0810789,-76.1874618,999,-1,1,-1,1
9,648312940,43.036927,-76.11543,100000,40,1,-1,1
9,1272770161,43.0769688,-76.1829545,999,-1,1,-1,1
10,1272770161,43.0768396,-76.1828212,999,-1,1,-1,1
10,1225275393,43.032927,-76.11543,100000,40,1,-1,1
10,1919627100,43.0809171,-76.1874496,999,-1,1,-1,1
10,477271251,43.0371509,-76.1309971,100000,43,1,-1,1
10,1238008230,43.0367272,-76.1316704,100000,8,1,-1,1
10,1729298847,43.0367263,-76.1321843,100000,8,1,-1,1
10,648312940,43.036927,-76.11543,100000,40,1,-1,1
10,980082749,43.0767376,-76.1799129,999,-1,1,-1,1
11,1272770161,43.0767103,-76.182688,999,-1,1,-1,1
11,1238008230,43.0365659,-76.131691,100000,8,1,-1,1
11,1919627100,43.0807553,-76.1874373,999,-1,1,-1,1
11,980082749,43.0766048,-76.1797862,999,-1,1,-1,1
11,477271251,43.0370387,-76.1308379,100000,43,1,-1,1
11,1729298847,43.0365648,-76.1321664,100000,8,1,-1,1
11,1670541627,43.0830276,-76.1765943,100000,15,1,-1,1
11,1225275393,43.032927,-76.1155411,100000,40,1,-1,1
11,648312940,43.036927,-76.1155411,100000,40,1,-1,1
12,648312940,43.036927,-76.1156522,100000,40,1,-1,1
12,1670541627,43.0828937,-76.1764699,100000,15,1,-1,1
12,980082749,43.076472,-76.1796596,999,-1,1,-1,1
12,1729298847,43.0364033,-76.1321486,100000,8,1,-1,1
12,1225275393,43.032927,-76.1156522,100000,40,1,-1,1
12,1919627100,43.0805935,-76.1874251,999,-1,1,-1,1
12,1238008230,43.0364046,-76.1317115,100000,8,1,-1,1
12,477271251,43.0369263,-76.1306788,100000,43,1,-1,1
12,1272770161,43.076581,-76.1825548,999,-1,1,-1,1
13,1670541627,43.0827597,-76.1763456,100000,15,1,-1,1
13,1729298847,43.0362418,-76.1321307,100000,8,1,-1,1
13,1272770161,43.0764517,-76.1824216,999,-1,1,-1,1
13,1919627100,43.0804318,-76.1874128,999,-1,1,-1,1
13,1238008230,43.0362432,-76.131732,100000,8,1,-1,1
13,1225275393,43.032927,-76.1157633,100000,40,1,-1,1
13,477271251,43.0368137,-76.1305198,100000,43,1,-1,1
13,648312940,43.036927,-76.1157633,100000,40,1,-1,1
13,980082749,43.0763392,-76.179533,999,-1,1,-1,1
14,477271251,43.0367011,-76.1303611,100000,43,1,-1,1
14,648312940,43.036927,-76.1158744,100000,40,1,-1,1
14,1272770161,43.0763223,-76.1822885,999,-1,1,-1,1
14,967468509,43.0376675,-76.1341833,100000,43,1,-1,1
14,980082749,43.0762064,-76.1794065,999,-1,1,-1,1
14,1919627100,43.08027,-76.1874006,999,-1,1,-1,1
14,1729298847,43.0360803,-76.1321129,100000,8,1,-1,1
14,1225275393,43.032927,-76.1158744,100000,40,1,-1,1
