TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished
250,1378022191,43.0809118,-76.1654476,2,129.7042679,9,1
250,1546479712,43.05145,-76.1919449,2,138.4983258,9,1
250,830561927,43.0374857,-76.1235824,2,129.0588537,5,1
250,685505545,43.0754319,-76.1812035,2,159.019093,-1,1
250,607915162,43.0463864,-76.1988574,2,138.0957673,7,1
250,536065248,43.0285942,-76.1324357,2,135.6926436,5,1
260,1728966109,43.0434754,-76.1359362,2,107.1158817,5,1
260,830561927,43.0374857,-76.1213736,2,130.5035611,5,1
260,548441799,43.042828,-76.1328896,2,110.9609129,5,1
260,1531958853,43.0374263,-76.1306104,2,125.5766359,5,1
260,1104686757,43.0203709,-76.115464,2,122.1237135,3,1
260,607915162,43.0475206,-76.1984156,2,138.1617363,7,1
260,685505545,43.0754319,-76.1789933,2,158.8147722,-1,1
260,1546479712,43.05145,-76.1897356,2,137.8346354,9,1
260,758258298,43.0510494,-76.1625298,2,137.6056735,5,1
260,977305415,43.0830252,-76.1371234,2,115.4477493,8,1
260,861382883,43.0799153,-76.1619083,2,130.9273004,9,1
260,1803080497,43.0364784,-76.0356331,2,132.8700224,6,1
260,480630685,43.0039851,-76.1279204,2,116.1467816,2,1
264,480630685,43.0039851,-76.1270374,2,116.1467816,2,-1
270,396589894,43.0283836,-76.1290122,2,135.9290821,5,1
270,1910909290,43.0339582,-76.1104824,2,136.9199557,3,1
270,527523866,43.036118,-76.0839697,2,137.5430949,6,1
270,1375855927,43.0733452,-76.1345296,2,105.6781752,8,1
270,861382883,43.0799153,-76.1596979,2,131.9300131,9,1
270,1374580125,43.0188923,-76.1184453,2,124.5808366,3,1
270,1093235089,43.019473,-76.1318233,2,135.9290821,3,1
270,607915162,43.0491408,-76.1984156,2,137.505403,7,1
270,2061006145,43.0370776,-76.1531209,2,133.7131287,5,1
270,950514463,43.0514747,-76.2123969,2,128.6432646,7,1
270,1378022191,43.0809118,-76.1610268,2,131.4081993,9,1
270,1728966109,43.0450956,-76.1359362,2,96.64727528,5,1
270,1531958853,43.0358061,-76.1306104,2,128.0979394,5,1
280,2061006145,43.0370776,-76.1553298,2,134.9181306,5,1
280,1406481073,43.0759458,-76.1889381,2,131.7159423,9,1
280,96435441,43.0829356,-76.1568464,2,131.2261163,9,1
280,1451120074,43.0492624,-76.216039,2,130.3954374,7,1
280,21282215,43.0801487,-76.1611376,2,130.9273004,9,1
280,396589894,43.0267633,-76.1290122,2,136.5596885,3,1
280,83806683,43.0209635,-76.1290616,2,134.0946495,3,1
280,1365847710,43.0762832,-76.1289407,2,107.1158817,8,1
280,330352890,43.0761509,-76.182974,2,159.1200643,-1,1
280,548441799,43.04299,-76.1289134,2,117.6163754,5,1
280,2004251105,43.0700604,-76.2065692,2,131.9300131,7,1
280,758258298,43.0523456,-76.16496,2,138.8378024,5,1
280,196006772,43.0824632,-76.1153228,2,130.6534425,8,1
290,2142087617,43.0502135,-76.2393984,2,134.6153916,7,1
290,1531958853,43.0325655,-76.1306104,2,132.0357438,5,1
290,305713831,43.0377429,-76.1299189,2,125.9484709,5,1
290,950514463,43.0514747,-76.2079782,2,131.1546133,7,1
290,83806683,43.0209635,-76.1268533,2,132.616147,3,1
290,1365430366,43.0188151,-76.1191287,2,125.9484709,3,1
290,950115756,43.0513939,-76.1774839,2,135.168912,9,1
290,1093235089,43.0193109,-76.1278486,2,132.9951287,3,1
290,1803080497,43.0364784,-76.0422595,2,126.8910801,6,1
290,1378022191,43.0809118,-76.1566061,2,133.5351711,9,1
290,96435441,43.0829356,-76.1546359,2,132.616147,9,1
290,536065248,43.0221132,-76.1324357,2,136.4305208,3,1
290,649641739,43.0499324,-76.2259279,2,129.1905197,7,1
300,1375855927,43.0684845,-76.1345296,2,114.709075,8,1
300,330352890,43.0761509,-76.1785536,2,158.7113975,-1,1
300,1803080497,43.0364784,-76.0444683,2,124.1321172,6,1
300,127681471,43.0604597,-76.1568328,2,137.308905,5,1
300,1895249522,43.0773319,-76.1513441,2,132.9951287,8,1
300,2004251105,43.0668199,-76.2065692,2,130.0655759,7,1
300,548441799,43.04299,-76.1244953,2,124.5808366,5,1
300,358564461,43.0785704,-76.1464275,2,128.6928511,8,1
300,2061006145,43.0370776,-76.1597474,2,137.1288393,5,1
300,131739394,43.0368567,-76.0515884,2,107.1158817,6,1
300,1365847710,43.0730427,-76.1289407,2,107.1158817,8,1
300,1451120074,43.0492624,-76.2116205,2,131.7159423,7,1
300,536065248,43.0204929,-76.1324357,2,136.0703174,3,1
300,758258298,43.0523456,-76.1693788,2,134.3054504,9,1
310,1378022191,43.0809118,-76.1521853,2,135.6781752,9,1
310,93803384,43.0490319,-76.1337849,2,101.1341116,5,1
310,685505545,43.0754319,-76.1679424,2,122.1237135,9,1
310,181486061,43.0350055,-76.1300484,2,129.4148549,5,1
310,1375855927,43.0668642,-76.1345296,2,119.9918128,8,1
310,1531958853,43.029325,-76.1306104,2,135.0782763,5,1
310,1933761898,43.0574999,-76.1973857,2,135.7359528,7,1
310,1363401731,43.0665199,-76.1285469,2,122.1237135,8,1
310,305713831,43.0377429,-76.1255013,2,128.3544208,5,1
310,2061006145,43.0370776,-76.1619562,2,138.1377862,5,1
310,96435441,43.0829356,-76.150215,2,135.168912,9,1
310,1803080497,43.0364784,-76.046677,2,120.673368,6,1
310,196006772,43.0824632,-76.1089125,2,135.2887871,8,1
310,2142087617,43.0502135,-76.2349799,2,132.4502897,7,1
320,1728966109,43.0531969,-76.1359362,2,120.1596198,5,1
320,305713831,43.0377429,-76.1232924,2,129.7841646,5,1
320,1365430366,43.0188151,-76.1125043,2,115.4477493,3,1
320,1546479712,43.05145,-76.1764796,2,135.0782763,9,1
320,396589894,43.0202823,-76.1290122,2,134.0946495,3,1
320,2142087617,43.0502135,-76.2327706,2,131.4081993,7,1
320,614042495,43.0829024,-76.1759092,2,158.5885006,-1,1
320,950514463,43.0514747,-76.2013502,2,134.9181306,7,1
320,330352890,43.0761509,-76.1741332,2,158.2920483,-1,1
320,1845904711,43.0816044,-76.1253449,2,120.8326745,8,1
320,1895249522,43.0773319,-76.1469236,2,129.4148549,8,1
320,977305415,43.0830252,-76.1238606,2,119.5999386,8,1
320,1093235089,43.0193109,-76.1212241,2,127.1999678,3,1
320,1531958853,43.0277048,-76.1306104,2,136.3688862,5,1
330,131739394,43.0368567,-76.0582148,2,96.64727528,6,1
330,1093235089,43.0193109,-76.119016,2,124.5808366,3,1
330,607915162,43.0514092,-76.1884737,2,158.8820164,-1,1
330,21076204,43.0328083,-76.0616299,2,121.4295194,6,1
330,1895249522,43.0773319,-76.1447133,2,127.1999678,8,1
330,1618354516,43.0761539,-76.1818443,2,159.019093,-1,1
330,758258298,43.0523456,-76.1760068,2,134.3776325,9,1
330,861382883,43.0799153,-76.1464359,2,138.1497667,9,1
330,1771262140,43.0792822,-76.1547544,2,133.577763,9,1
330,527523866,43.0361179,-76.0972223,2,135.6781752,0,1
330,1406481073,43.0678446,-76.1889381,2,130.0989404,9,1
330,196006772,43.0792227,-76.1089125,2,135.4444678,8,1
330,1845904711,43.0816044,-76.1231344,2,123.4101134,8,1
330,1933761898,43.0557176,-76.1991533,2,134.7870314,7,1
330,1417286734,43.0139134,-76.131506,2,133.6456216,2,1
340,21282215,43.0801486,-76.1478755,2,137.1934345,9,1
340,527523866,43.0361179,-76.0994311,2,135.7359528,0,1
340,614042495,43.0829024,-76.1714883,2,158.1702646,-1,1
