TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished
180,322467625,43.0808092,-76.1784407,2,129.7042679,4,1
180,737781054,43.0189793,-76.124878,2,131.3174759,9,1
180,658706793,43.0335009,-76.0409724,2,127.0183296,1,1
180,994948521,43.0314026,-76.1076783,2,134.3776325,9,1
180,949915704,43.0372873,-76.1123194,2,136.6002137,7,1
180,973785263,43.0379751,-76.1233018,2,129.7841646,6,1
180,890606833,43.0793925,-76.1433256,2,125.8872307,3,1
190,890606833,43.0793925,-76.1411153,2,123.4101134,3,1
190,1668724686,43.0766356,-76.1882537,2,132.1501161,4,1
190,322467625,43.0808092,-76.1762303,2,129.1905197,4,1
190,1507836548,43.0465933,-76.2255483,2,132.8700224,5,1
190,1475838028,43.0554112,-76.1327801,2,125.2745506,6,1
190,994948521,43.0297823,-76.1076783,2,132.8700224,9,1
190,2049631195,43.0755165,-76.1431835,2,123.8301402,3,1
190,132991247,43.0356408,-76.1103973,2,136.6406132,7,1
190,455830167,43.0507449,-76.23171,2,128.3544208,5,1
200,523396853,43.0830847,-76.1528831,2,133.7551437,3,1
200,1323522851,43.0264696,-76.0690491,2,134.6153916,1,1
200,2053287062,43.0765056,-76.1593668,2,129.0588537,4,1
200,1584689357,43.0254881,-76.1135612,2,128.3544208,9,1
200,585502488,43.0556756,-76.1884583,2,135.0782763,4,1
200,473993455,43.0402389,-76.069558,2,129.0588537,1,1
200,416634221,43.0499571,-76.2006353,2,138.1497667,5,1
200,851561491,43.0379456,-76.1498696,2,131.2261163,6,1
200,465141599,43.0757638,-76.1567492,2,130.0989404,4,1
200,737781054,43.0157387,-76.124878,2,131.0621005,9,1
210,1507836548,43.0465933,-76.22113,2,132.8700224,5,1
210,473993455,43.0402389,-76.0717669,2,131.0621005,1,1
210,2104956626,43.0381908,-76.1298087,2,131.4114544,7,1
210,288496331,43.0459196,-76.1660726,2,139.1020424,6,1
210,1749556632,43.0381284,-76.144712,2,134.8566204,9,1
210,416634221,43.0502811,-76.1990888,2,138.6143964,5,1
210,455830167,43.0507449,-76.2272914,2,127.9415915,5,1
210,973785263,43.0379751,-76.1166753,2,133.9301418,6,1
210,2115142947,43.0301996,-76.0657766,2,129.7841646,1,1
210,1616722272,43.0127534,-76.1211378,2,126.7050529,9,1
210,1775389493,43.030648,-76.1340505,2,134.3215255,6,1
220,2036232036,43.0472959,-76.2087388,2,136.0069509,5,1
220,737781054,43.0124982,-76.124878,2,131.0621005,9,1
220,2128945693,43.0821986,-76.1321958,2,116.1467816,3,1
220,618463036,43.0371662,-76.1200468,2,132.4502897,6,1
220,1749556632,43.0381284,-76.1469209,2,135.3482003,9,1
220,1668724686,43.0766356,-76.1948844,2,136.0703174,4,1
220,2104956626,43.0381908,-76.1275998,2,130.6976952,7,1
220,1507836548,43.0465933,-76.2189209,2,133.163017,5,1
220,851561491,43.0379456,-76.1542872,2,133.9301418,6,1
220,1421881662,43.0802486,-76.1389656,2,122.3672502,3,1
230,416634221,43.0525495,-76.1979841,2,138.4223216,5,1
230,465141599,43.0757638,-76.1501186,2,131.9493007,3,1
230,618463036,43.0371662,-76.117838,2,133.7131287,6,1
230,737781054,43.0108779,-76.124878,2,130.0655759,8,1
230,1273034506,43.0513946,-76.2171598,2,128.6432646,5,1
