TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished,Trajectory
92,923988192,43.0498917,-76.2360733,4,135.1455837,9,1,-1
92,1737904745,43.0655542,-76.1669591,4,119.6528442,7,1,-1
92,60575480,43.0452153,-76.2281511,4,135.9821465,9,1,-1
92,1053069655,43.0513803,-76.2318873,4,999,-1,1,-1
92,799714932,43.0314513,-76.1326299,4,134.5489583,1,1,-1
93,1947862555,43.0279401,-76.1343323,4,137.2066898,1,2,1
93,1458493498,43.0270016,-76.1187593,4,134.1580382,8,1,-1
93,203254937,43.0817927,-76.1838462,4,135.4585325,7,1,-1
93,1917919405,43.0795404,-76.1730132,4,130.8243635,7,2,1
93,1708706542,43.0270986,-76.0535049,4,999,-1,1,-1
93,1509440266,43.0327417,-76.1266424,4,134.6480533,1,1,-1
94,1947862555,43.0277781,-76.1343357,4,137.3217319,1,2,1
94,60575480,43.0450737,-76.2277537,4,136.021508,9,1,-1
94,373889326,43.0266483,-76.0317703,4,999,-1,1,-1
94,1458493498,43.0268842,-76.1186071,4,134.0132169,8,1,-1
94,1509440266,43.0326398,-76.1264706,4,134.7752881,1,1,-1
94,2008179199,43.0374814,-76.1317058,4,128.2208922,1,1,-1
95,234184799,43.0272814,-76.1185314,4,134.2898158,8,1,-1
95,1053069655,43.0512596,-76.2312453,4,131.9902735,9,1,-1
95,2030645982,43.0253069,-76.0414178,4,999,-1,1,-1
95,203254937,43.0815368,-76.1835749,4,135.1919275,7,1,-1
95,923988192,43.0497812,-76.2354279,4,134.9392351,9,1,-1
95,72524579,43.0261899,-76.1319003,4,138.5122088,1,1,-1
96,998966060,43.0444594,-76.2447608,4,999,-1,1,-1
96,923988192,43.0497444,-76.2352128,4,134.8719479,9,1,-1
96,203254937,43.0814088,-76.1834393,4,135.0565635,7,1,-1
96,1708706542,43.0270337,-76.0541615,4,999,-1,1,-1
96,1691499641,43.0798016,-76.170381,4,131.0823655,7,1,-1
96,799714932,43.0308262,-76.1323965,4,135.1018452,1,1,-1
97,1947862555,43.027292,-76.1343457,4,999,-1,2,1
97,1691499641,43.0797716,-76.1701638,4,131.0689909,7,1,-1
97,1917919405,43.0790922,-76.1723746,4,130.2681289,7,2,1
97,799714932,43.0306699,-76.1323384,4,135.2365372,1,1,-1
97,1737904745,43.0648119,-76.1665163,4,121.4887094,7,1,-1
97,2008179199,43.0370167,-76.1315117,4,999,-1,1,-1
98,234184799,43.0269019,-76.1181174,4,133.8506861,8,1,-1
98,1424164685,43.0346576,-76.1391363,4,131.5401105,1,1,-1
98,2008179199,43.0368617,-76.1314472,4,129.1129654,1,1,-1
98,1509440266,43.0322303,-76.1257859,4,135.2755175,1,1,-1
98,998966060,43.0444031,-76.2443257,4,999,-1,1,-1
98,757675095,43.0682712,-76.1623955,4,139.4228054,7,1,-1
99,519169945,43.0356618,-76.1296628,4,131.1020242,1,1,-1
99,373889326,43.0265435,-76.0328652,4,999,-1,1,-1
99,1053069655,43.0510984,-76.2303894,4,131.7425015,9,1,-1
99,1458493498,43.0262925,-76.117853,4,133.2636299,8,1,-1
99,1509440266,43.0321274,-76.1256153,4,135.3984203,1,1,-1
99,203254937,43.0810247,-76.1830329,4,999,-1,1,-1
100,1053069655,43.051058,-76.2301754,4,131.6851189,9,1,-1
100,799714932,43.0302008,-76.1321647,4,135.6325831,1,1,-1
100,203254937,43.0808966,-76.1828975,4,134.5006835,7,1,-1
100,528871576,43.0716012,-76.1825666,4,126.8315132,7,1,-1
100,998966060,43.0443467,-76.2438906,4,999,-1,1,-1
100,2008179199,43.0365517,-76.1313184,4,129.5370971,1,1,-1
101,998966060,43.0443185,-76.2436731,4,999,-1,1,-1
101,1599347416,43.0755988,-76.1757934,4,125.9741085,7,1,-1
101,1708706542,43.0269253,-76.0552558,4,999,-1,1,-1
101,1917919405,43.0786433,-76.1717368,4,129.7113876,7,2,1
101,1053069655,43.0510176,-76.2299614,4,131.6296711,9,1,-1
